Day,Game,A_score,D_score
Day 1,Game 1,21,17
Day 1,Game 2,Deuce,22
Day 1,Game 3,17,21
Day 1,Game 4,21,14
Day 1,Game 5,21,14
Day 2,Game 1,21,19
Day 2,Game 2,21,18
Day 2,Game 3,22,Deuce
Day 2,Game 4,21,19
Day 2,Game 5,19,21
Day 3,Game 1,18,21
Day 3,Game 2,19,21
Day 3,Game 3,21,15
Day 3,Game 4,22,Deuce
Day 3,Game 5,21,17
Day 3,Game 6,21,18
Day 4,Game 1,18,21
Day 4,Game 2,22,Deuce
Day 4,Game 3,17,21
Day 4,Game 4,15,21
Day 4,Game 5,21,15
Day 5,Game 1,21,18
Day 5,Game 2,19,21
Day 5,Game 3,21,8
Day 5,Game 4,19,21
Day 5,Game 5,17,21
Day 5,Game 6,11,21
